JobID,JobName,CPUsRequested,MemRequested(GB),MaxRSS(GB),WallTime,CPUTime
47747871,call-bam_to_fastq,2,3.73Gn,0.01G,00:16:32,00:33:04
47747880,call-assemble_reads,48,143.42Gn,81.20G,02:37:49,5-06:15:12
47748886,call-long_contigs_to_bins,2,3.73Gn,0.01G,00:01:07,00:02:14
47748892,call-predict_bin_quality,24,44.70Gn,11.15G,00:05:27,02:10:48
47748896,call-filter_complete_contigs,2,3.73Gn,0,00:00:07,00:00:14
47748897,call-make_incomplete_contigs,2,3.73Gn,0.01G,00:00:32,00:01:04
47748898,call-align_reads_to_assembled_contigs,24,44.70Gn,20.62G,00:13:40,05:28:00
47749047,call-bin_incomplete_contigs_semibin2,48,89.41Gn,4.48G,00:25:09,20:07:12
47749048,call-summarize_contig_depth,2,3.73Gn,0.06G,00:02:51,00:05:42
47749052,call-filter_contig_depth,2,3.73Gn,0,00:00:02,00:00:04
47749053,call-bin_incomplete_contigs_metabat2,12,22.35Gn,0.01G,00:02:58,00:35:36
47749056,call-map_contig_to_bin_metabat2,2,3.73Gn,0,00:00:24,00:00:48
47749222,call-map_contig_to_bin_semibin2,2,3.73Gn,0.01G,00:00:48,00:01:36
47749229,call-merge_incomplete_bins,24,44.70Gn,1.60G,00:19:41,07:52:24
47749258,call-predict_bin_quality,24,44.70Gn,11.86G,00:08:17,03:18:48
47749261,call-filter_dereplicated_bins,2,3.73Gn,0.09G,00:00:53,00:01:46
47749302,call-assign_taxonomy_gtdbtk,48,89.41Gn,49.35G,01:19:28,2-15:34:24
47752455,call-mag_summary,2,3.73Gn,0,00:00:09,00:00:18
47752457,call-mag_plots,2,3.73Gn,0,00:00:03,00:00:06
47752458,call-mag_copy,2,3.73Gn,0,00:00:11,00:00:22
,,,,,5:36:08,
